id,issue_date,employment_length,home_ownership,income_category,annual_income,loan_amount,term,purpose,interest_payments,loan_condition,interest_rate,grade,dti,total_payment,installment,region
35959550,2014-12-01,4.0,RENT,Low,72000,11800, 60 months,credit_card,High,Good Loan,14.99,C,10.8,3638.75,280.66,leinster
36960241,2014-12-01,3.0,MORTGAGE,Medium,143004,30000, 60 months,debt_consolidation,High,Bad Loan,14.99,C,10.35,8512.63,713.55,Northern-Irl
35853759,2014-12-01,10.0,OWN,Medium,150000,20000, 60 months,debt_consolidation,Low,Good Loan,8.67,B,6.5,5346.11,411.98,Northern-Irl
37127736,2014-12-01,1.0,OWN,Medium,150000,16000, 36 months,debt_consolidation,Low,Good Loan,8.19,A,5.51,6528.99,502.79,Northern-Irl
35763389,2014-12-01,10.0,RENT,Low,40000,14350, 36 months,debt_consolidation,High,Good Loan,19.24,E,26.43,6830.2,527.76,leinster
37127671,2014-12-01,4.0,RENT,Low,35000,3500, 36 months,debt_consolidation,High,Good Loan,13.66,C,11.87,1544.99,119.05,leinster
36400940,2014-12-01,6.05,OWN,Low,45164,11500, 36 months,debt_consolidation,Low,Good Loan,9.49,B,32.9,4782.23,368.33,ulster
36350774,2014-12-01,10.0,RENT,Low,23000,8200, 36 months,car,Low,Good Loan,10.49,B,8.82,3454.81,266.49,Northern-Irl
36109767,2014-12-01,10.0,MORTGAGE,Low,50388,10850, 60 months,debt_consolidation,High,Good Loan,20.99,E,39.63,3789.81,293.47,Northern-Irl
37680175,2014-12-01,3.0,RENT,Low,32000,4800, 36 months,other,High,Good Loan,17.86,D,19.97,2246.84,173.2,leinster
37257732,2014-12-01,6.05,MORTGAGE,Low,58000,6000, 36 months,other,Low,Good Loan,11.44,B,16.8,2566.16,197.69,munster
36118423,2014-12-01,10.0,MORTGAGE,Low,42000,10500, 36 months,debt_consolidation,Low,Good Loan,6.03,A,13.95,4151.02,319.58,leinster
36830275,2014-12-01,2.0,MORTGAGE,Low,30000,11400, 60 months,credit_card,High,Good Loan,19.99,E,20.32,3912.95,301.97,leinster
35236727,2014-12-01,9.0,RENT,Low,60000,6500, 36 months,debt_consolidation,High,Good Loan,14.99,C,16.66,2923.49,225.3,leinster
37207694,2014-12-01,1.0,MORTGAGE,Medium,120000,35000, 60 months,debt_consolidation,High,Good Loan,20.99,E,36.77,12266.03,946.68,Northern-Irl
36300884,2014-12-01,10.0,MORTGAGE,Medium,155785,28800, 36 months,credit_card,Low,Good Loan,11.44,B,11.51,12317.27,948.89,munster
35969841,2014-12-01,10.0,MORTGAGE,Medium,140000,19000, 36 months,debt_consolidation,Low,Good Loan,7.49,A,11.74,7674.31,590.94,munster
37770262,2014-12-01,2.0,RENT,Low,15000,7475, 36 months,debt_consolidation,High,Good Loan,15.59,D,37.76,3383.82,261.29,munster
36069713,2014-12-01,6.05,MORTGAGE,Low,64230,18500, 36 months,debt_consolidation,High,Bad Loan,14.31,C,21.38,6336.09,635.08,munster
36950298,2014-12-01,10.0,MORTGAGE,Low,80000,6000, 36 months,other,High,Good Loan,14.99,C,18.5,2693.62,207.97,leinster
37761091,2014-12-01,4.0,RENT,Medium,125000,6075, 36 months,debt_consolidation,High,Good Loan,15.99,D,4.93,2578.63,213.55,Northern-Irl
37157439,2014-12-01,9.0,MORTGAGE,High,210000,35000, 36 months,debt_consolidation,High,Good Loan,18.54,E,13.51,39558.93,1274.84,munster
36109653,2014-12-01,1.0,RENT,Medium,137000,24000, 36 months,credit_card,Low,Good Loan,11.44,B,10.98,10264.37,790.74,ulster
36341589,2014-12-01,4.0,MORTGAGE,Low,38000,7000, 36 months,debt_consolidation,Low,Good Loan,12.39,C,19.2,3029.89,233.81,leinster
37600586,2014-12-01,2.0,MORTGAGE,Medium,135000,35000, 60 months,other,High,Good Loan,19.99,E,4.71,11974.56,927.1,leinster
36601116,2014-12-01,1.0,RENT,Low,40500,8500, 36 months,debt_consolidation,Low,Bad Loan,8.19,A,15.61,2400.12,267.11,leinster
36210491,2014-12-01,10.0,RENT,Low,55964,16800, 60 months,debt_consolidation,High,Good Loan,16.49,D,21.77,5337.44,412.94,leinster
37167775,2014-12-01,0.5,MORTGAGE,Medium,107000,18000, 36 months,debt_consolidation,Low,Good Loan,7.49,A,8.35,7262.81,559.83,Northern-Irl
37711078,2014-12-01,10.0,MORTGAGE,Medium,186000,10000, 36 months,major_purchase,High,Good Loan,14.31,C,25.53,4111.53,343.29,leinster
36059349,2014-12-01,2.0,MORTGAGE,Low,80000,10000, 36 months,debt_consolidation,Low,Good Loan,7.49,A,15.39,4061.54,311.02,leinster
37760321,2014-12-01,1.0,RENT,Low,40000,15000, 36 months,debt_consolidation,Low,Good Loan,12.39,C,21.87,6492.61,501.02,ulster
36039802,2014-12-01,10.0,RENT,Low,75000,15000, 36 months,debt_consolidation,Low,Good Loan,8.67,B,23.76,6163.88,474.7,Northern-Irl
37811675,2014-12-01,10.0,MORTGAGE,Medium,150000,35000, 60 months,debt_consolidation,High,Good Loan,17.14,D,15.25,10419.77,872.48,cannught
37801223,2014-12-01,10.0,MORTGAGE,Low,63000,15000, 36 months,debt_consolidation,Low,Good Loan,8.19,A,18.5,5649.62,471.37,cannught
37690553,2014-12-01,6.05,RENT,Low,34460,15150, 36 months,debt_consolidation,High,Good Loan,14.99,C,33.69,6801.2,525.11,leinster
36300897,2014-12-01,2.0,RENT,Low,56000,10000, 60 months,debt_consolidation,High,Good Loan,20.99,E,20.92,3504.58,270.48,leinster
36280840,2014-12-01,10.0,MORTGAGE,Low,55000,12000, 36 months,debt_consolidation,Low,Good Loan,10.49,B,6.15,12592.53,389.98,munster
36350527,2014-12-01,8.0,RENT,Low,96000,21000, 60 months,debt_consolidation,Low,Good Loan,10.49,B,19.34,5854.27,451.27,leinster
35873891,2014-12-01,10.0,MORTGAGE,Medium,120000,20000, 36 months,debt_consolidation,Low,Good Loan,11.99,B,27.96,8607.96,664.2,Northern-Irl
35703564,2014-12-01,8.0,RENT,Low,60000,21600, 36 months,debt_consolidation,High,Good Loan,17.86,D,22.84,10110.51,779.38,Northern-Irl
36119225,2014-12-01,0.5,RENT,Medium,125000,30000, 36 months,debt_consolidation,Low,Good Loan,10.49,B,27.39,12656.74,974.94,munster
36950229,2014-12-01,6.0,OWN,Low,32240,11600, 60 months,other,High,Good Loan,22.99,F,1.3,4268.02,326.95,Northern-Irl
37257702,2014-12-01,2.0,MORTGAGE,Low,30000,10000, 60 months,debt_consolidation,High,Good Loan,24.5,F,8.16,3473.47,290.59,leinster
36510657,2014-12-01,0.5,RENT,Low,32000,2800, 36 months,other,High,Good Loan,15.59,D,18.27,1270.01,97.88,ulster
35893575,2014-12-01,10.0,MORTGAGE,Low,45000,10300, 36 months,debt_consolidation,Low,Good Loan,11.99,B,26.4,4439.92,342.06,ulster
36350933,2014-12-01,3.0,RENT,Low,30000,5000, 36 months,debt_consolidation,High,Good Loan,16.49,D,5.6,2291.84,177.0,cannught
36049297,2014-12-01,2.0,OWN,Medium,165000,22125, 36 months,small_business,High,Good Loan,22.99,F,6.58,10205.43,856.34,munster
36350925,2014-12-01,0.5,RENT,Low,35000,10000, 36 months,debt_consolidation,Low,Good Loan,6.03,A,17.22,3949.98,304.36,Northern-Irl
33281404,2014-12-01,10.0,RENT,Medium,112813,14000, 36 months,credit_card,Low,Good Loan,10.49,B,14.53,14460.05,454.97,cannught
37197662,2014-12-01,10.0,MORTGAGE,Low,98000,35000, 36 months,debt_consolidation,High,Bad Loan,19.99,E,25.42,14267.18,1300.55,leinster
36221159,2014-12-01,8.0,RENT,Low,98000,8000, 36 months,debt_consolidation,Low,Good Loan,9.49,B,12.18,8229.56,256.23,Northern-Irl
37640334,2014-12-01,6.05,MORTGAGE,Low,49860,12000, 36 months,credit_card,Low,Good Loan,6.49,A,8.06,4404.23,367.74,munster
36261101,2014-12-01,6.05,MORTGAGE,Low,52412,20050, 36 months,credit_card,High,Good Loan,14.31,C,24.04,8915.89,688.29,leinster
37661082,2014-12-01,2.0,MORTGAGE,Low,38000,18900, 60 months,credit_card,High,Good Loan,13.66,C,37.66,5272.6,436.45,Northern-Irl
37830213,2014-12-01,7.0,RENT,Low,62000,27000, 60 months,other,High,Good Loan,20.99,E,8.96,29972.71,730.29,cannught
36611375,2014-12-01,10.0,MORTGAGE,Low,36000,12125, 60 months,debt_consolidation,High,Good Loan,26.06,G,13.83,12536.16,363.46,ulster
36280592,2014-12-01,10.0,MORTGAGE,Low,61000,14000, 60 months,debt_consolidation,High,Good Loan,19.24,E,19.95,4715.33,365.02,ulster
36450690,2014-12-01,4.0,MORTGAGE,Medium,200000,10000, 36 months,other,Low,Good Loan,11.44,B,12.83,11035.1,329.48,ulster
36360829,2014-12-01,10.0,MORTGAGE,Low,60000,11675, 36 months,debt_consolidation,High,Good Loan,15.59,D,8.12,10485.08,408.1,cannught
37751780,2014-12-01,8.0,MORTGAGE,Low,44000,10000, 36 months,debt_consolidation,Low,Good Loan,12.99,C,30.03,4028.37,336.9,cannught
36119107,2014-12-01,9.0,MORTGAGE,Low,60950,21875, 36 months,small_business,High,Good Loan,17.86,D,7.01,14939.04,789.3,munster
36271536,2014-12-01,10.0,MORTGAGE,Low,63500,18000, 60 months,debt_consolidation,Low,Good Loan,12.99,C,34.11,5310.12,409.47,Northern-Irl
35999052,2014-12-01,10.0,MORTGAGE,Medium,120000,28000, 60 months,debt_consolidation,Low,Good Loan,8.19,A,15.28,7401.03,570.29,cannught
37207268,2014-12-01,10.0,MORTGAGE,Low,75000,10000, 36 months,credit_card,Low,Good Loan,8.19,A,13.42,4080.7,314.25,ulster
37740629,2014-12-01,2.0,MORTGAGE,Medium,125000,5000, 36 months,debt_consolidation,Low,Good Loan,6.99,A,11.86,5196.22,154.37,cannught
36179116,2014-12-01,5.0,MORTGAGE,Medium,140000,6000, 36 months,other,Low,Good Loan,12.99,C,25.95,6171.6,202.14,Northern-Irl
37087716,2014-12-01,0.5,RENT,Low,38000,6500, 36 months,major_purchase,Low,Good Loan,11.44,B,4.67,2779.95,214.16,Northern-Irl
37690304,2014-12-01,0.5,RENT,Medium,120000,35000, 60 months,major_purchase,High,Good Loan,24.99,F,10.31,13255.12,1027.1,ulster
36260968,2014-12-01,10.0,MORTGAGE,High,225000,6000, 36 months,debt_consolidation,Low,Good Loan,7.49,A,8.44,2420.94,186.61,leinster
36211083,2014-12-01,6.05,MORTGAGE,Low,46448,18900, 60 months,debt_consolidation,High,Good Loan,22.99,F,15.17,6876.82,532.7,cannught
37237283,2014-12-01,4.0,RENT,Medium,111000,15000, 60 months,debt_consolidation,High,Good Loan,17.14,D,13.72,4846.68,373.92,Northern-Irl
37691232,2014-12-01,4.0,RENT,Low,89000,28000, 36 months,debt_consolidation,Low,Good Loan,6.49,A,24.95,10286.5,858.05,ulster
37077809,2014-12-01,10.0,MORTGAGE,Low,69500,6400, 36 months,debt_consolidation,High,Good Loan,13.66,C,13.66,2629.7,217.69,Northern-Irl
36260172,2014-12-01,0.5,RENT,Low,20000,1200, 36 months,debt_consolidation,High,Good Loan,22.99,F,17.65,1317.09,46.45,leinster
36400951,2014-12-01,10.0,RENT,Low,30000,5950, 36 months,debt_consolidation,High,Good Loan,17.86,D,29.08,6786.05,214.69,ulster
36301071,2014-12-01,0.5,OWN,Low,27000,3000, 36 months,debt_consolidation,Low,Good Loan,12.99,C,20.22,1309.58,101.07,leinster
37117361,2014-12-01,0.5,RENT,Low,36000,12950, 60 months,debt_consolidation,High,Good Loan,17.14,D,9.77,4172.0,322.82,ulster
37720557,2014-12-01,4.0,RENT,Low,55000,10000, 36 months,debt_consolidation,High,Good Loan,14.99,C,7.42,4489.27,346.61,ulster
37267265,2014-12-01,3.0,MORTGAGE,Low,36000,10625, 60 months,debt_consolidation,High,Bad Loan,17.14,D,22.73,2363.51,264.86,munster
36240944,2014-12-01,10.0,RENT,Low,50000,4800, 36 months,debt_consolidation,Low,Good Loan,7.49,A,18.1,1936.78,149.29,cannught
36490936,2014-12-01,10.0,MORTGAGE,Low,80000,12150, 36 months,debt_consolidation,High,Good Loan,15.59,D,27.59,13014.99,424.71,ulster
37831089,2014-12-01,10.0,MORTGAGE,Medium,120000,20000, 60 months,credit_card,Low,Good Loan,11.44,B,15.21,21948.67,439.25,ulster
37681145,2014-12-01,10.0,OWN,Medium,172000,5500, 36 months,other,High,Good Loan,14.31,C,9.11,5679.62,188.81,Northern-Irl
37021224,2014-12-01,2.0,RENT,Low,45000,14000, 36 months,debt_consolidation,Low,Good Loan,12.99,C,13.01,15322.88,471.65,ulster
37041115,2014-12-01,5.0,MORTGAGE,Low,92000,35000, 60 months,debt_consolidation,High,Good Loan,22.99,F,20.28,12779.41,986.47,leinster
37077667,2014-12-01,2.0,MORTGAGE,Low,70000,10000, 60 months,debt_consolidation,High,Good Loan,14.31,C,11.49,11293.33,234.3,leinster
37731640,2014-12-01,0.5,RENT,Low,35000,12000, 36 months,credit_card,High,Good Loan,13.66,C,7.82,13303.88,408.16,ulster
37711575,2014-12-01,2.0,OWN,Low,21600,2000, 36 months,debt_consolidation,High,Good Loan,14.99,C,18.78,1340.64,69.33,cannught
36301691,2014-12-01,3.0,RENT,Low,35000,8000, 36 months,credit_card,High,Good Loan,14.31,C,19.62,3557.47,274.63,munster
37801349,2014-12-01,10.0,OWN,Low,60000,13225, 60 months,debt_consolidation,High,Good Loan,22.99,F,25.0,4439.22,372.75,Northern-Irl
36691243,2014-12-01,1.0,RENT,Low,30000,10200, 36 months,debt_consolidation,High,Bad Loan,18.54,E,31.14,3183.64,371.53,cannught
36351529,2014-12-01,3.0,MORTGAGE,High,275000,35000, 60 months,debt_consolidation,Low,Good Loan,11.44,B,11.78,9948.48,768.69,munster
36691213,2014-12-01,10.0,MORTGAGE,Low,41331,9800, 36 months,debt_consolidation,Low,Good Loan,9.49,B,23.4,4075.27,313.88,leinster
37790832,2014-12-01,3.0,MORTGAGE,Low,60000,19500, 36 months,debt_consolidation,High,Good Loan,18.54,E,24.96,8503.16,710.27,cannught
35916455,2014-12-01,0.5,MORTGAGE,Low,26000,9875, 36 months,credit_card,High,Good Loan,14.31,C,21.51,4391.3,339.0,cannught
37770418,2014-12-01,3.0,RENT,Low,22000,6600, 36 months,debt_consolidation,High,Good Loan,17.86,D,12.33,2854.5,238.15,ulster
37681700,2014-12-01,0.5,RENT,Low,26880,7675, 36 months,debt_consolidation,High,Bad Loan,14.31,C,22.59,778.24,263.48,ulster
37177796,2014-12-01,10.0,RENT,Medium,140000,16000, 36 months,small_business,High,Good Loan,14.31,C,7.9,7114.94,549.26,cannught
37780857,2014-12-01,10.0,MORTGAGE,Low,55000,12000, 36 months,credit_card,Low,Good Loan,11.99,B,15.99,5164.77,398.52,ulster
36601135,2014-12-01,10.0,OWN,Low,44000,10000, 36 months,credit_card,Low,Good Loan,12.39,C,31.75,4335.25,334.01,munster
33300614,2014-12-01,5.0,RENT,Low,50000,12000, 36 months,debt_consolidation,Low,Good Loan,12.99,C,14.35,5238.19,404.27,Northern-Irl
37840264,2014-12-01,3.0,MORTGAGE,Low,70000,10000, 60 months,debt_consolidation,High,Good Loan,13.66,C,5.86,11111.22,230.93,ulster
36078813,2014-12-01,8.0,RENT,Low,27000,3600, 36 months,debt_consolidation,Low,Good Loan,12.99,C,21.6,1574.17,121.29,leinster
37127610,2014-12-01,0.5,MORTGAGE,Low,68000,8000, 36 months,credit_card,Low,Bad Loan,12.99,C,21.13,2419.91,269.52,cannught
37117524,2014-12-01,2.0,RENT,Low,33500,5500, 36 months,debt_consolidation,Low,Good Loan,10.49,B,19.63,5813.78,178.74,leinster
36128765,2014-12-01,9.0,OWN,Low,32000,5000, 36 months,debt_consolidation,High,Good Loan,14.31,C,12.19,2227.47,171.65,cannught
36350294,2014-12-01,5.0,OWN,Medium,143000,24000, 36 months,debt_consolidation,High,Good Loan,13.66,C,5.83,10593.82,816.31,Northern-Irl
36240302,2014-12-01,6.05,MORTGAGE,Low,51934,10000, 36 months,debt_consolidation,Low,Good Loan,11.99,B,6.26,10289.21,332.1,Northern-Irl
36058816,2014-12-01,5.0,MORTGAGE,Medium,105000,35000, 60 months,debt_consolidation,High,Good Loan,15.99,D,20.21,38495.34,850.95,munster
37800270,2014-12-01,1.0,MORTGAGE,Low,50000,12000, 60 months,debt_consolidation,Low,Good Loan,8.67,B,22.01,3201.91,247.19,cannught
37247504,2014-12-01,8.0,RENT,Low,38000,16700, 60 months,credit_card,High,Bad Loan,16.49,D,7.9,3268.54,410.48,ulster
37720174,2014-12-01,0.5,MORTGAGE,Low,63000,23925, 36 months,debt_consolidation,High,Good Loan,17.86,D,18.02,11198.77,863.27,cannught
36210309,2014-12-01,10.0,RENT,Low,53000,19050, 60 months,debt_consolidation,Low,Good Loan,12.99,C,22.46,5606.05,433.35,leinster
36301892,2014-12-01,7.0,MORTGAGE,Low,64500,10000, 36 months,debt_consolidation,High,Bad Loan,14.99,C,20.52,2063.0,346.61,Northern-Irl
36310308,2014-12-01,4.0,RENT,Low,47000,16850, 36 months,credit_card,High,Good Loan,16.49,D,34.91,7738.93,596.49,leinster
36808162,2014-12-01,10.0,MORTGAGE,Low,28000,10000, 36 months,credit_card,Low,Bad Loan,11.99,B,8.87,3314.34,332.1,leinster
36808331,2014-12-01,10.0,MORTGAGE,Medium,103000,12000, 36 months,debt_consolidation,High,Good Loan,13.66,C,13.63,5287.87,408.16,Northern-Irl
37197272,2014-12-01,10.0,MORTGAGE,Low,53000,15000, 60 months,debt_consolidation,High,Good Loan,13.66,C,13.56,4491.69,346.39,ulster
36221896,2014-12-01,3.0,MORTGAGE,Low,82597,14500, 60 months,debt_consolidation,Low,Good Loan,11.44,B,12.26,4121.55,318.46,Northern-Irl
37690509,2014-12-01,2.0,RENT,Low,45000,16600, 60 months,debt_consolidation,High,Bad Loan,17.86,D,19.02,5010.3,420.27,leinster
37287692,2014-12-01,7.0,MORTGAGE,Low,82000,15000, 60 months,debt_consolidation,Low,Good Loan,11.44,B,27.7,4263.65,329.44,leinster
36400346,2014-12-01,2.0,OWN,Low,79400,7000, 36 months,home_improvement,Low,Good Loan,8.19,A,19.77,2856.43,219.97,Northern-Irl
37720549,2014-12-01,10.0,MORTGAGE,Medium,150000,28000, 36 months,credit_card,Low,Good Loan,6.49,A,9.3,11134.46,858.05,Northern-Irl
37247505,2014-12-01,10.0,MORTGAGE,Medium,170000,20000, 36 months,debt_consolidation,High,Good Loan,14.31,C,8.76,8909.51,686.57,ulster
35998725,2014-12-01,10.0,OWN,Low,24000,10050, 60 months,credit_card,High,Good Loan,22.99,F,22.0,3669.54,283.26,leinster
36380370,2014-12-01,7.0,MORTGAGE,Low,50000,2200, 36 months,debt_consolidation,High,Good Loan,16.49,D,30.05,1010.42,77.88,ulster
36300589,2014-12-01,1.0,RENT,Low,79500,9000, 36 months,credit_card,Low,Good Loan,8.19,A,15.04,3672.56,282.82,leinster
36551369,2014-12-01,10.0,MORTGAGE,Low,85723,12400, 36 months,debt_consolidation,High,Good Loan,14.31,C,23.93,5514.12,425.68,ulster
36270148,2014-12-01,10.0,MORTGAGE,Low,41900,12800, 60 months,other,High,Good Loan,14.31,C,26.15,3878.35,299.9,leinster
36200601,2014-12-01,2.0,MORTGAGE,Low,64000,2000, 36 months,major_purchase,High,Bad Loan,18.54,E,9.04,70.79,72.85,Northern-Irl
37317669,2014-12-01,2.0,MORTGAGE,Low,83300,5600, 36 months,debt_consolidation,High,Bad Loan,16.49,D,3.34,1417.62,198.24,munster
37031148,2014-12-01,2.0,RENT,Medium,135000,6000, 36 months,debt_consolidation,Low,Good Loan,12.99,C,11.16,6690.31,202.14,cannught
37087387,2014-12-01,6.0,MORTGAGE,Low,58000,24350, 60 months,debt_consolidation,High,Good Loan,22.99,F,26.21,8859.7,686.3,Northern-Irl
37297574,2014-12-01,2.0,RENT,Low,82400,14000, 36 months,debt_consolidation,Low,Good Loan,7.49,A,18.66,14636.29,435.43,leinster
36411872,2014-12-01,2.0,RENT,Low,80000,25000, 36 months,credit_card,High,Good Loan,14.31,C,9.88,27517.86,858.21,leinster
36271914,2014-12-01,1.0,MORTGAGE,Medium,150000,10200, 36 months,debt_consolidation,Low,Good Loan,9.49,B,7.64,4241.59,326.69,leinster
37831296,2014-12-01,10.0,MORTGAGE,Low,41600,16575, 36 months,debt_consolidation,High,Good Loan,17.86,D,20.23,7152.17,598.07,cannught
35958136,2014-12-01,10.0,MORTGAGE,Medium,105000,25000, 60 months,debt_consolidation,Low,Good Loan,8.67,B,11.31,6670.53,514.97,munster
36280368,2014-12-01,10.0,MORTGAGE,High,350000,35000, 36 months,debt_consolidation,Low,Good Loan,9.49,B,8.07,14535.96,1120.99,ulster
36420209,2014-12-01,6.0,MORTGAGE,High,250000,35000, 36 months,home_improvement,High,Good Loan,14.99,C,17.53,15741.41,1213.12,ulster
36381782,2014-12-01,0.5,OWN,Low,33462,12000, 60 months,debt_consolidation,Low,Good Loan,11.99,B,31.78,3461.45,266.88,ulster
37650275,2014-12-01,10.0,RENT,Low,45000,20000, 36 months,credit_card,Low,Good Loan,12.39,C,29.31,8656.73,668.02,ulster
37257480,2014-12-01,5.0,MORTGAGE,Low,58717,20575, 60 months,debt_consolidation,High,Good Loan,14.31,C,8.24,22007.16,482.06,ulster
36480119,2014-12-01,6.05,RENT,Low,30000,6000, 36 months,other,Low,Good Loan,9.49,B,23.24,6331.01,192.17,ulster
37781409,2014-12-01,10.0,MORTGAGE,Medium,100070,10000, 36 months,medical,Low,Good Loan,8.19,A,7.67,3764.18,314.25,Northern-Irl
37761406,2014-12-01,9.0,MORTGAGE,Low,50000,4000, 36 months,other,Low,Good Loan,12.39,C,13.42,1610.12,133.61,ulster
36320867,2014-12-01,2.0,RENT,Low,43929,9000, 36 months,home_improvement,Low,Good Loan,9.49,B,14.21,3742.64,288.26,Northern-Irl
35939679,2014-12-01,10.0,RENT,Low,30000,8400, 36 months,debt_consolidation,Low,Good Loan,10.49,B,10.32,3543.97,272.99,leinster
35949419,2014-12-01,10.0,MORTGAGE,Low,75000,17975, 60 months,home_improvement,High,Good Loan,13.66,C,20.38,5382.53,415.09,ulster
37671407,2014-12-01,10.0,MORTGAGE,Medium,200000,25000, 36 months,credit_card,Low,Good Loan,6.03,A,5.67,9118.12,760.89,ulster
36241845,2014-12-01,9.0,RENT,Low,75000,7000, 36 months,debt_consolidation,Low,Good Loan,12.99,C,10.66,7472.43,235.83,Northern-Irl
35053897,2014-12-01,2.0,MORTGAGE,Low,46000,19300, 36 months,debt_consolidation,Low,Good Loan,12.39,C,19.98,7722.4,644.64,munster
36390576,2014-12-01,10.0,MORTGAGE,Low,66000,15000, 36 months,debt_consolidation,Low,Good Loan,8.19,A,28.7,5642.79,471.37,leinster
36341747,2014-12-01,10.0,MORTGAGE,High,225000,24000, 36 months,credit_card,Low,Good Loan,8.19,A,17.0,9793.42,754.18,Northern-Irl
36980180,2014-12-01,3.0,RENT,Low,30000,10000, 60 months,other,High,Bad Loan,17.86,D,3.56,2268.7,253.18,ulster
37740739,2014-12-01,7.0,OWN,Low,23500,2275, 36 months,other,High,Good Loan,20.99,E,27.83,1558.79,85.7,Northern-Irl
36410482,2014-12-01,6.05,OWN,Low,26000,5000, 36 months,debt_consolidation,High,Good Loan,15.99,D,27.84,2298.31,175.77,cannught
37297510,2014-12-01,9.0,RENT,Low,55000,5000, 36 months,debt_consolidation,High,Good Loan,13.66,C,31.11,5463.84,170.07,ulster
36491390,2014-12-01,0.5,MORTGAGE,Low,80000,14400, 60 months,debt_consolidation,Low,Good Loan,11.44,B,20.25,4102.23,316.26,Northern-Irl
36210407,2014-12-01,9.0,RENT,Medium,138000,35000, 60 months,debt_consolidation,High,Good Loan,25.8,G,6.45,37621.2,1043.78,munster
36290324,2014-12-01,10.0,RENT,Medium,168000,15000, 36 months,other,Low,Good Loan,8.19,A,0.86,6114.16,471.37,ulster
37328541,2014-12-01,3.0,RENT,Low,44848,2000, 36 months,credit_card,High,Good Loan,13.66,C,33.85,881.35,68.03,cannught
36109217,2014-12-01,0.5,OWN,Low,48000,6000, 36 months,home_improvement,Low,Good Loan,12.39,C,6.15,2601.2,200.41,Northern-Irl
